"filename", "language", "Markdown", "PowerShell", "TypeScript", "Ini", "JavaScript", "TypeScript JSX", "JSON", "JSON with Comments", "Shell Script", "YAML", "Python", "toml", "pip requirements", "XML", "Docker", "JSON Lines", "PostCSS", "HTML", "Ignore", "comment", "blank", "total"
"f:\animate-serial\apps\anyreason\.vendor\nextjs-fastapi-template\nextjs-frontend\lib\clientConfig.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"f:\animate-serial\apps\anyreason\.vendor\nextjs-fastapi-template\nextjs-frontend\lib\definitions.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"f:\animate-serial\apps\anyreason\.vendor\nextjs-fastapi-template\nextjs-frontend\lib\utils.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 24
"f:\animate-serial\apps\anyreason\README.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 90
"f:\animate-serial\apps\anyreason\agent.md", "Markdown", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 126
"f:\animate-serial\apps\anyreason\data-arch.md", "Markdown", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 234
"f:\animate-serial\apps\anyreason\docker\README.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 108
"f:\animate-serial\apps\anyreason\docker\bootstrap-db.ps1", "PowerShell", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"f:\animate-serial\apps\anyreason\docker\bootstrap-db.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14
"f:\animate-serial\apps\anyreason\docker\compose.app.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 144
"f:\animate-serial\apps\anyreason\docker\db_init.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"f:\animate-serial\apps\anyreason\docker\diagnose-dockerhub.ps1", "PowerShell", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"f:\animate-serial\apps\anyreason\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 83
"f:\animate-serial\apps\anyreason\docker\minio\init\create-buckets.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 33
